="NumÃ©ro FINESS";="SIRET";="APE";="Raison sociale";="ComplÃ©ment distribution";="Adresse";="Lieudit/BP";="Code postal";="Libelle routage";="Tel";="Fax";="Date ouvert";="Code categorie";="Lib categorie";="Code statut";="Lib statut";="Code tarif";="Lib tarif";="Code PSPH";="Lib PSPH";="FINESS juridique";="SOC:";="Discipline1";="Mode de fonctionnement1";="ClientÃ?le1";="CapacitÃ© hommes1";="CapacitÃ© femmes1";="CapacitÃ© totale1";="Discipline2";="Mode de fonctionnement2";="ClientÃ?le2";="CapacitÃ© hommes2";="CapacitÃ© femmes2";="CapacitÃ© totale2";="Discipline3";="Mode de fonctionnement3";="ClientÃ?le3";="CapacitÃ© hommes3";="CapacitÃ© femmes3";="CapacitÃ© totale3";="Discipline4";="Mode de fonctionnement4";="ClientÃ?le4";="CapacitÃ© hommes4";="CapacitÃ© femmes4";="CapacitÃ© totale4";="Discipline5";="Mode de fonctionnement5";="ClientÃ?le5";="CapacitÃ© hommes5";="CapacitÃ© femmes5";="CapacitÃ© totale5";
="010001261";="775 544 083 00477";="8810C";="ESAT LES BROSSES";;="";="LES BROSSES";="01560";="VERNOUX";="04 74 47 04 70 ";="04 74 47 03 61";="01 octobre 2000";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="010785897";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="50";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010005288";="775 693 385 01754";="8810C";="ESAT HORS LES MURS LADAPT - VIRIAT";;="69 RUE GAY LUSSAC";;="01440";="VIRIAT";="04 74 47 38 86 ";;="09 août 2007";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="750078149";="";="Aide par le travail pour Adultes Handicapés";="Externat";="Troubles du spectre de l'autisme";="0";="0";="3";="Aide par le travail pour Adultes Handicapés";="Externat";="Cérébro lésés";="0";="0";="12";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010006898";="775 544 083 00576";="8810C";="ESAT LES DOMBES";;="118 IMPASSE DES JARDINS";="CHAFFAUD";="01330";="VILLARS LES DOMBES";="04 74 47 04 70 ";="04 78 55 74 11";="01 janvier 2011";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="010785897";="";="Aide par le travail pour Adultes Handicapés";="Externat";="Déficience intellectuelle";="0";="0";="50";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010007466";="784 579 682 02084";="8810C";="ESAT DE LA COTIERE ET DU PAYS DE GEX";;="524 RUE DES ARTISANS";="ZA LA BASSETTE";="01800";="MEXIMIEUX";="04 74 46 78 66 ";="04 74 46 78 54";="01 septembre 1999";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="750050916";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="96";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010008951";="775 544 562 01361";="8810C";="ESAT ENVOL TRANSITION";;="385 ALLEE DU PRUNNUS";="PARC INDUSTRIEL PLAINE DE LAIN";="01150";="BLYES";="04 74 46 54 00 ";="04 74 46 54 09";="01 décembre 2010";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="010783009";="";="Aide par le travail pour Adultes Handicapés";="Accueil de Jour";="Handicap psychique";="0";="0";="9";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010784163";="775 544 083 00527";="8810C";="ESAT LE PENNESSUY";;="242 RUE GEORGES LECLANCHE";;="01440";="VIRIAT";="04 74 22 20 19 ";="04 74 24 71 08";="13 décembre 1966";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="010785897";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="187";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010784171";="775 544 083 00345";="8810C";="ESAT LES ATELIERS DE NIERME";;="2 RUE FRANCOISE DOLTO";="BP 5012";="01105";="OYONNAX CEDEX";="04 74 73 23 20 ";="04 74 73 23 26";="20 décembre 1978";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="010785897";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="87";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010784213";="775 544 083 00295";="8810C";="ESAT LA LECHERE";;="ROUTE DE SAINT GERMAIN";;="01300";="BELLEY";="04 79 81 21 39 ";="04 74 81 04 80";="01 janvier 1974";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="010785897";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="132";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010784288";="775 544 083 00121";="8810C";="ESAT CENTRE DE VIE RURAL TREFFORT";;="CHEMIN DES GRANDES COMMUNES";;="01370";="VAL REVERMONT";="04 74 42 10 50 ";="04 74 42 10 51";="01 juillet 1976";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="010785897";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="60";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010784502";="775 643 257 00345";="8810C";="ESAT DU COLOMBIER";;="240 ROUTE DE PARVES";="ZI DU CORON";="01300";="BELLEY";="04 79 87 60 06 ";="04 79 87 53 32";="01 novembre 1978";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="690791108";="";="Aide par le travail pour Adultes Handicapés";="Accueil de jour et accompagnement en milieu ordinaire";="Déficience Motrice";="0";="0";="58";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010787141";="775 544 562 01007";="8810C";="ESAT LA FRETA";;="548 RUE D'ORCET";;="01110";="PLATEAU D HAUTEVILLE";="04 74 35 13 29 ";="04 74 35 23 70";="05 mai 1986";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="010783009";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience du Psychisme (Sans Autre Indication)";="0";="0";="66";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010788339";="775 544 083 00238";="8810C";="ESAT BELLEGARDE INDUSTRIE";;="AVENUE PAUL LANGEVIN";="BP 421";="01204";="BELLEGARDE SUR VALSERINE C";="04 50 56 02 34 ";="04 50 48 49 54";="01 avril 1989";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="010785897";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="56";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010788750";="775 544 562 00967";="8810C";="ESAT DIENET";;="ROUTE DE SAINT NIZIER";;="01240";="ST PAUL DE VARAX";="04 74 42 55 18 ";="04 74 42 51 92";="01 mai 1989";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="010783009";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience du Psychisme (Sans Autre Indication)";="0";="0";="71";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="010788909";="775 544 083 00311";="8810C";="ESAT LES TEPPES";;="280 ROUTE DE LA CROIX POTENCE";;="01851";="MARBOZ";="04 74 51 01 75 ";="04 74 42 01 35";="01 décembre 1991";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="010785897";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="52";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="020000204";="924 193 568 00129";="8810C";="ESAT APEI SAINT-QUENTIN";;="52 RUE JEAN COCTEAU";;="02100";="ST QUENTIN";="03 23 67 72 34 ";="03 23 64 85 80";="02 mai 1966";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="020018560";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience du Psychisme (Sans Autre Indication)";="0";="0";="10";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Tous Types de Déficiences Pers.Handicap.(sans autre indic.)";="0";="0";="125";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="020001863";="780 236 535 00107";="8810C";="ANTENNE ESAT AEI CHAUNY";="QUARTIER DROUOT";="ESPLANADE DE L'EUROPE";="BP 5";="02800";="LA FERE";="03 23 52 10 46 ";="03 23 39 56 77";="27 novembre 1998";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="020005252";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="020002341";="780 236 535 00065";="8810C";="ESAT EDMOND DUFOUR";;="73 AVENUE JEAN JAURÈS";="BP 90 109";="02303";="CHAUNY CEDEX";="03 23 52 10 46 ";="03 23 39 56 77";="08 juin 1970";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="020005252";="";="Aide par le travail pour Adultes Handicapés";="Accueil de Jour";="Tous Types de Déficiences Pers.Handicap.(sans autre indic.)";="0";="0";="223";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="020003646";="775 547 177 00060";="8810C";="ESAT AED SAINT-ERME-OUTRE-ET-RAMECOURT";;="9 ROUTE DE LIESSE";;="02820";="ST ERME OUTRE ET RAMECOURT";="03 23 22 32 90 ";="03 23 22 32 94";="01 mars 1967";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="020007035";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Tous Types de Déficiences Pers.Handicap.(sans autre indic.)";="0";="0";="57";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience du Psychisme (Sans Autre Indication)";="0";="0";="10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="020003687";="794 021 030 00083";="8810C";="ESAT APEI-2V CHIERRY";;="1 RUE DE L'ÉGLISE";;="02400";="CHIERRY";="03 23 83 24 79 ";="03 23 83 34 36";="01 janvier 1973";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="020016101";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience du Psychisme (Sans Autre Indication)";="0";="0";="90";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="020003695";="311 975 346 00348";="8810C";="ESAT APEI SOISSONS";;="6 BOULEVARD JULES FERRY";;="02200";="SOISSONS";="03 23 53 22 96 ";="03 23 59 49 55";="03 mai 1971";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="020005401";="";="Aide par le travail pour Adultes Handicapés";="Accueil de Jour";="Tous Types de Déficiences Pers.Handicap.(sans autre indic.)";="0";="0";="163";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="020003786";="784 579 682 01516";="8810C";="ESAT APAJH SAINT-QUENTIN";="ZAC DU BOIS DE LA CHOCQUE";="10 AVENUE ARCHIMÈDE";;="02100";="ST QUENTIN";="03 23 06 01 10 ";="03 23 67 40 00";="03 septembre 1979";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="750050916";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Tous Types de Déficiences Pers.Handicap.(sans autre indic.)";="0";="0";="95";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="020003794";="924 193 568 00038";="8810C";="ESAT APEI LAON";;="21 CHEMIN DE L'HIPPODROME";;="02000";="LAON";="03 23 20 41 87 ";="03 23 20 33 99";="01 octobre 1977";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="020018560";="";="Aide par le travail pour Adultes Handicapés";="Accueil de Jour";="Déficience intellectuelle";="0";="0";="85";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="020003828";="794 021 030 00158";="8810C";="ESAT APEI-2V COYOLLES";="CHÂTEAU DE COYOLLES";="ROUTE DU PARC";="BP 13";="02600";="COYOLLES";="03 23 96 03 86 ";="03 23 96 11 23";="01 juin 1973";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="020016101";="";="Aide par le travail pour Adultes Handicapés";="Accueil de jour et accompagnement en milieu ordinaire";="Tous Types de Déficiences Pers.Handicap.(sans autre indic.)";="0";="0";="140";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="020003836";="775 546 781 00052";="8810C";="ESAT SAVART SAINT-MICHEL";;="10 RUE JEAN CHARTON";="BP 3";="02830";="ST MICHEL";="03 23 58 05 40 ";="03 23 98 68 00";="06 mars 1972";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="63";="Fondation";="34";="ARS / DG dotation globale";;;="020005211";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Tous Types de Déficiences Pers.Handicap.(sans autre indic.)";="0";="0";="12";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="113";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="020004545";="200 030 708 00131";="8810C";="ESAT EPHESE FONTAINE-LÈS-VERVINS";;="2 RUE DES PERCE-NEIGE";;="02140";="FONTAINE LES VERVINS";="03 23 98 59 59 ";="03 23 98 43 59";="23 décembre 2010";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="19";="Etablissement Social et Médico-Social Départemental";="34";="ARS / DG dotation globale";;;="020015723";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Tous Types de Déficiences Pers.Handicap.(sans autre indic.)";="0";="0";="53";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="020004644";="200 030 708 00123";="8810C";="ESAT EPHESE LIESSE-NOTRE-DAME";;="57 RUE ABBÉ DUPLOYÉ";;="02350";="LIESSE NOTRE DAME";="03 23 22 35 00 ";="03 23 22 35 01";="01 janvier 1968";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="19";="Etablissement Social et Médico-Social Départemental";="34";="ARS / DG dotation globale";;;="020015723";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Tous Types de Déficiences Pers.Handicap.(sans autre indic.)";="0";="0";="88";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="020004792";="775 547 144 00219";="8810C";="ESAT AJP ORIGNY-SAINTE-BENOITE";;="15 RUE PASTEUR";;="02390";="ORIGNY STE BENOITE";="03 23 09 35 40 ";="03 23 09 75 12";="01 septembre 1984";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="020005229";="";="Aide par le travail pour Adultes Handicapés";="Externat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="50";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="020008710";="775 546 781 00060";="8810C";="ESAT SAVART LE NOUVION-EN-THIÉRACHE";;="RUE DE LA VERRERIE";="LIEU-DIT LE GARMOUZET";="02170";="LE NOUVION EN THIERACHE";="03 23 97 05 20 ";="03 23 97 52 68";="01 janvier 1988";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="63";="Fondation";="34";="ARS / DG dotation globale";;;="020005211";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="54";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Tous Types de Déficiences Pers.Handicap.(sans autre indic.)";="0";="0";="6";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="020016622";;;="ESAT AEI CONDREN";;="22 ROUTE DE CHAUNY";;="02700";="CONDREN";="03 23 40 28 78 ";;="22 mars 2016";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="020005252";="";="Aide par le travail pour Adultes Handicapés";="Accueil de Jour";="Tous Types de Déficiences Pers.Handicap.(sans autre indic.)";="0";="0";="223";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="020019931";;;="DISPJ";;="9 ROUTE DE LIESSE";;="02820";="ST ERME OUTRE ET RAMECOURT";;;="21 août 2025";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="020007035";="";="Aide par le travail pour Adultes Handicapés";="Accueil de jour et accompagnement en milieu ordinaire";="Tous Types de Déficiences Pers.Handicap.(sans autre indic.)";="0";="0";="0";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="030003628";="316 621 887 00108";="8810C";="ESAT LOIRE ET BESBRE";;="";="ZA LES VERNISSES";="03290";="DIOU";="04 70 44 90 61 ";;="27 août 2008";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="030007256";="";="Aide par le travail pour Adultes Handicapés";="Externat";="Handicap psychique";="0";="0";="5";="Aide par le travail pour Adultes Handicapés";="Externat";="Déficience intellectuelle";="0";="0";="15";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="030780621";="842 512 865 00028";="8810C";="ESAT RIVE GAUCHE";;="36 RUE EUGENE SUE";;="03100";="MONTLUCON";="04 70 05 25 43 ";="04 70 05 86 82";="03 mars 1969";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="030008064";="";="Aide par le travail pour Adultes Handicapés";="Externat";="Déficience intellectuelle";="0";="0";="86";="Aide par le travail pour Adultes Handicapés";="Externat";="Handicap psychique";="0";="0";="20";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="030780894";="779 004 845 00011";="8810C";="ESAT DE CREUZIER LE NEUF";;="CHEMIN DU CAT";;="03300";="CREUZIER LE NEUF";="04 70 58 15 92 ";="04 70 58 70 99";="03 octobre 1973";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="030007256";="";="Aide par le travail pour Adultes Handicapés";="Externat";="Déficience intellectuelle";="0";="0";="130";="Aide par le travail pour Adultes Handicapés";="Externat";="Handicap psychique";="0";="0";="20";="Aide par le travail pour Adultes Handicapés";="Externat";="Tous Types de Déficiences Pers.Handicap.(sans autre indic.)";="0";="0";="10";="";="";="";="";="";="";="";="";="";="";="";="";
="030781041";="842 512 865 00218";="8810C";="ESAT DE MOULINS";;="89 RUE DE PARIS";;="03000";="MOULINS";="04 70 48 19 50 ";="04 70 48 19 69";="01 mars 1967";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="030008064";="";="Aide par le travail pour Adultes Handicapés";="Accueil de jour et accompagnement en milieu ordinaire";="Handicap psychique";="0";="0";="24";="Aide par le travail pour Adultes Handicapés";="Accueil de jour et accompagnement en milieu ordinaire";="Déficience intellectuelle";="0";="0";="60";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="030782668";="842 512 865 00051";="8810C";="ESAT LES ECLUSES";;="19 ROUTE DU STADE";;="03410";="PREMILHAT";="04 70 51 53 69 ";="04 70 51 58 06";="02 février 1979";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="030008064";="";="Aide par le travail pour Adultes Handicapés";="Accueil de jour et accompagnement en milieu ordinaire";="Handicap psychique";="0";="0";="20";="Aide par le travail pour Adultes Handicapés";="Accueil de jour et accompagnement en milieu ordinaire";="Déficience intellectuelle";="0";="0";="90";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="030783054";="852 647 676 00265";="8810C";="ESAT LES GENETAIX";;="7 ROUTE DE MONESTIER";;="03140";="DENEUILLE LES CHANTELLE";="04 70 56 68 06 ";="04 70 56 69 51";="01 novembre 1980";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="030007256";="";="Aide par le travail pour Adultes Handicapés";="Externat";="Tous Types de Déficiences Pers.Handicap.(sans autre indic.)";="0";="0";="3";="Aide par le travail pour Adultes Handicapés";="Externat";="Déficience intellectuelle";="0";="0";="37";="Aide par le travail pour Adultes Handicapés";="Externat";="Handicap psychique";="0";="0";="20";="";="";="";="";="";="";="";="";="";="";="";="";
="030785299";="842 512 865 00184";="8810C";="ESAT YZEURE PRODUCTION";;="RUE DU HAUT BARRIEUX";;="03400";="YZEURE";="04 70 34 01 43 ";="04 70 34 12 36";="01 mai 1988";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="030008064";="";="Aide par le travail pour Adultes Handicapés";="Accueil de jour et accompagnement en milieu ordinaire";="Déficience intellectuelle";="0";="0";="40";="Aide par le travail pour Adultes Handicapés";="Accueil de jour et accompagnement en milieu ordinaire";="Handicap psychique";="0";="0";="40";="Aide par le travail pour Adultes Handicapés";="Accueil de jour et accompagnement en milieu ordinaire";="Troubles du spectre de l'autisme";="0";="0";="3";="Aide par le travail pour Adultes Handicapés";="Accueil de jour et accompagnement en milieu ordinaire";="Déficience visuelle grave";="0";="0";="2";="";="";="";="";="";="";
="030786115";="408 828 002 00050";="8810C";="ESAT AAPSH DE SAINT HILAIRE";;="CHATEAU DE SAINT HILAIRE";="LE BOURG";="03440";="ST HILAIRE";="04 70 67 34 40 ";="04 70 67 34 50";="17 août 1992";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="030005953";="";="Aide par le travail pour Adultes Handicapés";="Externat";="Déficience intellectuelle";="0";="0";="94";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="040003147";="775 558 968 00753";="8810C";="ESAT ATELIERS DU FOURNAS";="TECHNOPARC DES GRANDES TERRES";="25 RUE DE L'ORIGAN";;="04100";="MANOSQUE";="04 92 70 48 48 ";;="17 juin 1991";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="130804115";="";="Aide par le travail pour Adultes Handicapés";="Accueil de jour et accompagnement en milieu ordinaire";="Déficience intellectuelle";="0";="0";="64";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="040780868";="775 680 309 05644";;="ESAT PAUL MARTIN";="ZONE ARTISANALE DES ARCHES";="4 RUE DE L'ARTISANAT";;="04005";="DIGNE LES BAINS CEDEX";="04 92 31 29 46 ";="04 92 31 68 95";="05 août 1975";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="750825846";="";="Aide par le travail pour Adultes Handicapés";="Accueil de jour et accompagnement en milieu ordinaire";="Déficience intellectuelle";="0";="0";="80";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="040780876";="775 558 968 00738";="8810C";="ESAT ATELIERS DU FOURNAS";;="21 RUE PAUL CEZANNE";="QUA LA CASSE";="04160";="CHATEAU ARNOUX ST AUBAN";="04 92 64 15 44 ";="04 92 70 48 40";="26 mars 1973";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="130804115";="";="Aide par le travail pour Adultes Handicapés";="Accueil de jour et accompagnement en milieu ordinaire";="Déficience intellectuelle";="0";="0";="70";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
