="NumÃ©ro FINESS";="SIRET";="APE";="Raison sociale";="ComplÃ©ment distribution";="Adresse";="Lieudit/BP";="Code postal";="Libelle routage";="Tel";="Fax";="Date ouvert";="Code categorie";="Lib categorie";="Code statut";="Lib statut";="Code tarif";="Lib tarif";="Code PSPH";="Lib PSPH";="FINESS juridique";="SOC:";="Discipline1";="Mode de fonctionnement1";="ClientÃ?le1";="CapacitÃ© hommes1";="CapacitÃ© femmes1";="CapacitÃ© totale1";="Discipline2";="Mode de fonctionnement2";="ClientÃ?le2";="CapacitÃ© hommes2";="CapacitÃ© femmes2";="CapacitÃ© totale2";="Discipline3";="Mode de fonctionnement3";="ClientÃ?le3";="CapacitÃ© hommes3";="CapacitÃ© femmes3";="CapacitÃ© totale3";="Discipline4";="Mode de fonctionnement4";="ClientÃ?le4";="CapacitÃ© hommes4";="CapacitÃ© femmes4";="CapacitÃ© totale4";="Discipline5";="Mode de fonctionnement5";="ClientÃ?le5";="CapacitÃ© hommes5";="CapacitÃ© femmes5";="CapacitÃ© totale5";
="880788583";="775 717 366 00147";="8810C";="ESAT DE CONTREXEVILLE";="ZAC DE LA BASE AERIENNE 902";="RUE ERNEST DAUDET";;="88140";="CONTREXEVILLE";="03 29 08 65 76 ";="03 29 08 05 16";="01 septembre 1991";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="880785068";="";="Aide par le travail pour Adultes Handicapés";="Externat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="66";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="880788997";="775 717 309 00436";="8810C";="ESAT AVSEA  EPINAL";;="6 RUE LÉO VALENTIN";="BP 1026";="88050";="EPINAL CEDEX 9";="03 29 31 00 14 ";="03 29 31 99 78";="05 septembre 1994";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="880785084";="";="Aide par le travail pour Adultes Handicapés";="Externat";="Handicap psychique";="0";="0";="55";="Aide par le travail pour Adultes Handicapés";="Externat";="Troubles du spectre de l'autisme";="0";="0";="4";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="880789045";;;="ESAT AVSEA  ANNEXE D'EPINAL";;="7 RUE STE CECILE";;="88500";="MIRECOURT";="03 29 37 20 85 ";;="05 septembre 1994";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="880785084";="";="Aide par le travail pour Adultes Handicapés";="Externat";="Déficience du Psychisme (Sans Autre Indication)";="0";="0";="20";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="880789060";="783 439 169 00096";="8810C";="ESAT 'FLOREBOIS'";="ZONE D'ACTIVITE DE LA PLAINE";="";;="88200";="ST NABORD";="03 29 62 59 62 ";="03 29 23 00 18";="01 janvier 1992";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="880785126";="";="Aide par le travail pour Adultes Handicapés";="Externat";="Déficience intellectuelle";="0";="0";="126";="Aide par le travail pour Adultes Handicapés";="Externat";="Troubles du spectre de l'autisme";="0";="0";="6";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="890002538";="784 579 682 00633";="8810C";="ESAT SENS";;="67 RUE CARNOT";;="89100";="SENS";="03 86 83 79 60 ";="03 86 65 55 30";="01 janvier 1979";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="750050916";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="188";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="890003551";="180 036 063 00675";="8810C";="ESAT LES ATELIERS DE CHENEY";;="1 RUE DE LA CROIX BLANCHE";;="89700";="CHENEY";="03 86 55 59 59 ";="03 86 55 59 71";="01 septembre 1978";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="18";="Etablissement Social et Médico-Social National";="34";="ARS / DG dotation globale";;;="910808781";="";="Aide par le travail pour Adultes Handicapés";="Accueil de jour et accompagnement en milieu ordinaire";="Déficience intellectuelle";="0";="0";="125";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="890005259";="775 688 732 08999";;="ESAT MONETEAU APF";;="13 RUE DE MADRID";;="89470";="MONETEAU";="03 86 42 41 06 ";;="20 décembre 2005";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="750719239";="";="Aide par le travail pour Adultes Handicapés";="Accueil de jour et accompagnement en milieu ordinaire";="Cérébro lésés";="0";="0";="25";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="890007784";="382 703 288 00037";="8810C";="ESAT SERVICAT";;="8 RUE MARCEL BRAULT";;="89110";="MONTHOLON";="03 86 91 59 09 ";="03 86 91 59 36";="01 septembre 2000";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="890001548";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="26";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="890007925";="389 755 760 00029";="8810C";="ESAT DE L AVALLONNAIS";;="10 ROUTE D'ANNOUX";="BP 1";="89440";="L ISLE SUR SEREIN";="03 86 33 90 44 ";="03 86 33 90 67";="17 janvier 2001";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="890973183";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="32";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="890008352";="180 036 063 00097";="8810C";="ESAT AUXERRE CEDAITRA";;="17 RUE DES CAILLOTTES";="PLAINE DES ISLES";="89000";="AUXERRE";="03 86 46 86 11 ";="03 86 46 47 84";="03 janvier 1977";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="18";="Etablissement Social et Médico-Social National";="34";="ARS / DG dotation globale";;;="910808781";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Retard Mental Léger";="0";="0";="112";="Réinsertion Par l'Économie";="Externat";="Retard Mental Léger";="0";="0";="10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="890008394";="180 036 063 00105";="8810C";="ESAT CATAGRI";;="11 ROUTE DE TANNERRE";;="89130";="MEZILLES";="03 86 45 47 31 ";="03 86 45 48 43";="09 octobre 1989";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="18";="Etablissement Social et Médico-Social National";="34";="ARS / DG dotation globale";;;="910808781";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Tous Types de Déficiences Pers.Handicap.(sans autre indic.)";="0";="0";="59";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="890008816";="424 163 764 00451";;="ESAT LES ATELIERS DE LA WIVRE";;="13 RUE DE ROME";="ZONE DES MACHERINS";="89470";="MONETEAU";="03 86 53 42 83 ";;="30 novembre 2012";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="40";="Régime Général de Sécurité Sociale";="34";="ARS / DG dotation globale";;;="210010294";="";="Aide par le travail pour Adultes Handicapés";="Externat";="Handicap psychique";="0";="0";="20";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="890973159";="353 520 620 00017";="8810C";="ESAT LES BROUSSES";="RESIDENCE DES BROUSSES";="ROUTE DE CHATILLON";="BP 28";="89390";="RAVIERES";="03 86 55 78 18 ";="03 86 55 78 70";="01 septembre 1989";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="890001332";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Tous Types de Déficiences Pers.Handicap.(sans autre indic.)";="0";="0";="59";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="900001959";="778 713 156 00256";="8810C";="ESAT CRAVANCHE";;="4 RUE DU SALBERT";;="90300";="CRAVANCHE";="03 84 90 24 01 ";;="12 juin 2006";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="900000092";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience du Psychisme (Sans Autre Indication)";="0";="0";="25";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="900003419";="778 713 156 00322";="8810C";="ESAT LES HAUTS DE BELFORT";;="25 RUE ALBERT CAMUS";="PARC ACTIVITES HAUTS DE BELFORT";="90000";="BELFORT";="03 84 21 06 67 ";="03 63 41 50 07";="02 septembre 2012";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="900000092";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="200";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="900005273";="778 713 156 00124";="4520A";="ESAT LA MELTIERE";;="1 IMPASSE DE LA MELTIERE";="LES ERRUES";="90150";="MENONCOURT";="03 84 23 00 46 ";="03 84 23 02 67";="01 octobre 1989";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="900000092";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="120";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="910002740";="775 660 970 00366";="8810C";="ESAT ANDRE CAILLEAU";;="44 RUE MAL DE LATTRE DE TASSIGNY";;="91100";="CORBEIL ESSONNES";="01 69 22 83 30 ";="01 69 22 83 40";="01 septembre 2001";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="750710451";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="74";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="910002757";="775 666 530 00438";="8810C";="ESAT LES ATELIERS DE LA NACELLE";;="34 BOULEVARD DE L YERRES";;="91000";="EVRY COURCOURONNES";="01 60 91 66 66 ";="01 60 91 66 69";="26 juillet 1996";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="750720492";="";="Aide par le travail pour Adultes Handicapés";="Accueil de Jour";="Déficience intellectuelle";="0";="0";="179";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="910015684";="530 342 740 00095";="8810C";="ESAT MOSAIC SERVICES";;="2 AVENUE D AMAZONIE";;="91940";="LES ULIS";="01 64 86 41 10 ";="01 64 86 41 11";="01 octobre 1998";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="63";="Fondation";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="920001419";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="80";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience du Psychisme (Sans Autre Indication)";="0";="0";="5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="910016443";="785 193 947 00088";="8810C";="ESAT LES ATELIERS DU VIEUX CHATRES";="ZAC MAISON NEUVE";="61 AVENUE DE LA COMMUNE";;="91220";="BRETIGNY SUR ORGE";="01 60 85 23 90 ";="01 60 85 23 99";="11 mars 1996";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="910707645";="";="Aide par le travail pour Adultes Handicapés";="Accueil de Jour";="Déficience intellectuelle";="0";="0";="63";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="910017797";="778 115 089 00113";="8810C";="ESAT LES ATELIERS DE LA PRAIRIE";="ZAC DE LA PRAIRIE";="3 RUE DE VITRUVE";;="91140";="VILLEBON SUR YVETTE";="01 69 09 01 38 ";="01 69 34 95 22";="01 mars 2002";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="63";="Fondation";="34";="ARS / DG dotation globale";;;="910808773";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="115";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="910018381";="775 693 385 01051";="8810C";="ESAT HORS LES MURS";;="11 RUE DU BOIS SAUVAGE";;="91000";="EVRY COURCOURONNES";="01 60 79 88 55 ";="01 60 79 88 51";="18 juillet 2001";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="57";="DGS ARS & hébergement PCD - sous CPOM";;;="750078149";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience du Psychisme (Sans Autre Indication)";="0";="0";="50";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="910018522";="778 115 089 00105";="8810C";="ESAT LES ATELIERS DU MOULIN";="ZI DES BORDES";="3 RUE HENRI DUNANT";;="91070";="BONDOUFLE";="01 69 11 24 10 ";="01 60 86 69 94";="18 juillet 2001";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="63";="Fondation";="34";="ARS / DG dotation globale";;;="910808773";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="104";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="910028380";="785 193 947 00039";;="ESAT LES ATELIERS DU VIEUX CHATRES";;="13 RUE D'EGLY";;="91290";="ARPAJON";;;="11 mars 2021";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="910707645";="";="Aide par le travail pour Adultes Handicapés";="Accueil de Jour";="Déficience intellectuelle";="0";="0";="45";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="910028398";="785 193 947 00047";;="ESAT LES ATELIERS DU  VIEUX CHATRES";;="24 RUE DE LA GUILLEMAINE";;="91520";="EGLY";;;="01 août 1991";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="60";="Association Loi 1901 non Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="910707645";="";="Aide par le travail pour Adultes Handicapés";="Accueil de Jour";="Déficience intellectuelle";="0";="0";="36";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="910690247";="334 769 270 00102";="8810C";="ESAT LES ATELIERS MORSAINTOIS";;="6 RUE JULES VALLES";;="91390";="MORSANG SUR ORGE";="01 63 04 04 73 ";="01 69 46 38 72";="04 avril 1973";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="910808948";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="120";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
="910700285";="334 769 270 00268";="8810C";="ESAT LA CARDON";;="70 RUE GUTENBERG";;="91120";="PALAISEAU";="01 69 31 70 90 ";="01 60 14 70 26";="04 avril 1971";="246";="Etablissement et Service d'Aide par le Travail (E.S.A.T.)";="61";="Association Loi 1901 Reconnue d'Utilité Publique";="34";="ARS / DG dotation globale";;;="910808948";="";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience du Psychisme (Sans Autre Indication)";="0";="0";="10";="Aide par le travail pour Adultes Handicapés";="Semi-Internat";="Déficience Intellectuelle (sans autre indication)";="0";="0";="118";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";
