field_name,field_label,field_help_text,field_placeholder,field_information
annual_ca,"Quel était votre chiffre d'affaire annuel commercial tout confondu (productions propres, prestations de service, mises à disposition de travailleurs et travailleuses auprès d'utilisateurs) ?",En euros,,Reportez vous au guide d'aide au remplissage pour des indications précises
annual_ca_production,Quel était votre chiffre d'affaire annuel commercial en productions propres ?,En euros,,Reportez vous au guide d'aide au remplissage pour des indications précises
annual_ca_service,Quel était votre chiffre d'affaire annuel commercial en prestation de service ?,En euros,,Reportez vous au guide d'aide au remplissage pour des indications précises
annual_ca_mad,"Quel était le montant annuel de votre chiffre d'affaires (Compte 706) issu exclusivement des contrats de mise à disposition de travailleurs et travailleuses handicapés (MAD) auprès d'utilisateurs tiers (entreprises, collectivités, associations) ?",En euros,,Reportez vous au guide d'aide au remplissage pour des indications précises
pct_ca_public,Indiquez le pourcentage de votre chiffre d'affaires réalisé avec des clients du secteur public,En %,,Reportez vous au guide d'aide au remplissage pour des indications précises
budget_commercial,"Sur le résultat net de la SEC, étiez-vous",,,Solde final après inclusion des aides au poste - relatif uniquement à la partie commerciale
budget_commercial_deficit,De quel montant était ce déficit ?,,,
budget_commercial_excedent,De quel montant était cet excédent?,,,
budget_social,"Sur le résultat de clôture de votre Budget de Fonctionnement (Section d'Exploitation du Budget Social), étiez-vous :",Budget de fonctionnement dit aussi budget social,,
budget_social_deficit,De quel montant était ce déficit ?,,,
budget_social_excedent,De quel montant était cet excédent?,,,
budget_accessibility,Quel a été le montant des investissements de mise aux normes de sécurité et d'accessibilité des installations réalisés par l'ESAT en n-1 ?,En euros,,
budget_diversity,"Quel a été le montant des investissements pour diversifier les activités proposées aux travailleurs et travailleuses, réalisés par l'ESAT en n-1 ?",En euros,,"Il s'agit ici des investissements ayant permis à l'ESAT de diversifier ses activités (nouveaux outils de production, etc.)"
comments,"Nous arrivons à la fin du questionnaire. Ce champ libre vous permet d'apporter toute précision complémentaire ou de clarifier certaines informations si nécessaire. Merci de faire référence aux questions en utilisant leur identifiant (exemple : Rubrique “Aide à la mobilité”, Question c), la donnée n'est pas disponible car nous n'avons pas l'information pour 2 des 5 travailleurs concernés.)",,,
