field_name,field_label,field_help_text,field_placeholder,field_information
nb_worker_intern_formation,Combien de travailleurs et travailleuses ont bénéficié d'au moins une formation animée en interne par les salarié(e)s de l'ESAT ?,,,"Sont exclues les formations animées par des organismes externes, même si celles-ci ont lieu dans les murs de l'ESAT. Sont aussi exclus les apprentissages délivrés par les moniteurs durant la production quotidienne."
formation_subject,"Quels ont été les sujets des formations dispensées, en interne, par l'ESAT ?",,"Exemple : Hygiène, communication bienveillante, savoir s'exprimer en public",
autodetermination_formation,Avez-vous mis en place une formation à l'autodétermination pour les travailleurs et travailleuses ?,,,
nb_worker_autodetermination,Combien de travailleurs et travailleuses ont bénéficié dans l'année d'une formation à l'autodétermination ?,Nombre de travailleurs (personnes physique) en file active,,Les actions de sensibilisation à l'autodétermination doivent s'entendre comme des actions de formation ( prévu par les conventions OPCO Santé et OPCA ANFH).
autodetermination_external_formation,La formation à l'autodétermination pour les travailleuses et travailleurs est-elle assurée par l'intermédiaire d'un organisme de formation ?,,,
skills_validation_type,Quels ont été les types de dispositifs dont ont bénéficié les travailleurs et travailleuses de l'ESAT pour reconnaitre et développer leurs compétences ?,,,
nb_worker_rae_rsfp,Combien de travailleurs et travailleuses ont bénéficié d'une RAE ou d'une RSFP ?,Nombre de travailleurs (personnes physique) en file active,,Dont la RAE ou RSFP a été validée au cours de l'année
nb_worker_vae,Combien de travailleurs et travailleuses ont bénéficié d'une VAE ?,Nombre de travailleurs (personnes physique) en file active,,Dont la VAE a été validée au cours de l'année
after_skills_validation,"Parmi les travailleurs sortis dans l’année, combien avaient obtenu une validation ou une reconnaissance de leurs compétences en amont ?",En nombre de travailleurs (effectif physique) partis au cours de l’année n-1,,"Nombre de travailleurs parmi ceux déclarés à la réponse a de la rubrique 7 qui avaient obtenu une RAE, RSFP ou VAE en amont de la sortie, quelle que soit la date de la validation"
nb_worker_duoday,"En n-1, combien de travailleurs et travailleuses de l'ESAT ont participé à Duoday ?",,,
nb_employee_reverse_duoday,"En n-1, combien de professionnels du milieu ordinaire ont participé à des Duoday inversés ?",,,
skills_notebook,Avez-vous mis en place un carnet de parcours et de compétences ?,,,
software_financial_help,"L'ESAT a t-il bénéficié d'une aide financière pour mettre en place ce carnet et le cas échéant, acquérir un logiciel ?",,,
software_financial_help_type,Type d'aide,,Exemple : CNR,
retirement_preparation_actions,Quelles ont été les actions conduites par l'ESAT pour préparer les travailleurs et travailleuses au départ à la retraite ?,,,
uaat_inscription,Êtes-vous inscrit dans la démarche Un Avenir Après le Travail (UAAT) ?,,,
retirement_preparation_nb_workers,Combien de travailleurs et travailleuses ont bénéficié d'actions de préparation à la retraite ?,Nombre de travailleurs (personnes physique) en file active,,
pct_more_than50,Combien de travailleurs ou travailleuses de plus de 50 ans ont travaillé dans l'ESAT en n-1 ?,Nombre de travailleurs (personnes physique) en file active,,
documents_falclist,"Au 31 décembre n-1, les principaux documents destinés aux travailleurs et travailleuses étaient-ils accessibles en FALC ou en communication alternative augmentée ? (contrat d'accompagnement par le travail, livret d'accueil, règlement de fonctionnement, etc.)",,,Possible de répondre OUI si le document n'a été traduit que partiellement
worker_delegate,"En n-1, y-a-t-il dans l'ESAT un.e délégué.e des travailleurs élu.e ?",,,
worker_delegate_formation,Est-ce que le délégué ou la déléguée a bénéficié d'une formation au cours de son mandat pour cette mission :,,,Cocher oui si le délégué a bénéficié d’une formation (quelle que soit la date de la formation au cours de son mandat)
worker_delegate_hours_credit,"En n-1, est-ce que le délégué a bénéficié d'un crédit d'heures chaque mois pour remplir sa mission ?",,,
nb_delegate_hours,"Si oui, précisez le nombre d'heures",Nombre d'heures par mois,,
mix_qvt_in_place,"En n-1, une instance mixte (salarié(e)s/travailleurs et travailleuses) sur la qualité de vie au travail (QVT), l'hygiène et la sécurité et l'évaluation des risques professionnels est-elle en place ?",,,
profit_sharing_bonus,"En n-1, quel était le montant moyen de la prime d'intéressement (au sens de l'article R 243-6 du CASF) versée aux travailleurs et travailleuses?",En euros. Possibilité de mettre 0.,,
mean_pct_esat_rem,"Au 31 décembre n-1, quel était le % moyen de rémunération directe du travailleur pris en charge par l'ESAT ?",En % du SMIC,,% qui ne peut être inférieur à 5% du SMIC
foresight_in_place,"Est-ce que l'ESAT a contribué en n-1 à un régime de prévoyance au sens de l'article R 243-9 du CASF, avec compensation par l'Etat d'une partie de la contribution ?",,,
year_foresight_in_place,Depuis quelle année ce régime de prévoyance est-il mis en œuvre dans l'ESAT ?,,,
annual_transport_budget,Quel budget annuel avez-vous alloué au transport des travailleurs et travailleuses de leur domicile à l'ESAT (transport en commun et/ou navette et/ou taxi) ?,En euros,,
nb_worker_transport,b. Combien de travailleurs et travailleuses ont bénéficié d'un transport financé ou organisé par l'ESAT ? (transport en commun et/ou navette et/ou taxi),En nombre de travailleurs (effectif physique) en file active,,
nb_worker_mobility_inclusion_card,Combien de travailleurs et travailleuses ont bénéficié de la carte mobilité inclusion ?,En nombre de travailleurs (effectif physique) en file active,,"En cas d'impossibilité à remplir cette donnée, merci de ne rien saisir dans la cellule et d'indiquer la raison dans la rubrique ""Commentaires"" en fin de questionnaire."
nb_worker_driving_licence,Combien de travailleurs et travailleuses ont leur permis de conduire ?,En nombre de travailleurs (effectif physique) en file active,,"En cas d'impossibilité à remplir cette donnée, merci de ne rien saisir dans la cellule et d'indiquer la raison dans la rubrique ""Commentaires"" en fin de questionnaire."
nb_worker_code,Combien de travailleurs et travailleuses ont le code ?,En nombre de travailleurs (effectif physique) en file active,,"En cas d'impossibilité à remplir cette donnée, merci de ne rien saisir dans la cellule et d'indiquer la raison dans la rubrique ""Commentaires"" en fin de questionnaire."
holiday_voucher,L'ESAT propose-t-il des chèques vacances aux travailleurs et travailleuses ?,,,
holiday_voucher_annual_budget,Quel est le budget annuel de l'ESAT pour les chèques vacances ?,En euros,,
gift_voucher,L'ESAT propose-t-il des chèques cadeaux aux travailleurs et travailleuses ?,,,
gift_voucher_annual_budget,Quel est le budget annuel de l'ESAT pour les chèques cadeaux ?,En euros,,
nb_worker_worked_sunday,Combien de travailleurs et travailleuses de l'ESAT ont travaillé au moins un dimanche ou un jour férié en n-1 ?,Nombre de travailleurs (personnes physique) en file active,,
agreement_signed_ft,"Pour l'année n-1, une convention était-elle en vigueur avec les acteurs du réseau pour l’emploi (France Travail, Cap Emploi et Mission locale) ?",,,
agreement_signed_ea,"Pour l'année n-1, une convention était-elle en vigueur avec une Entreprise adaptée ?",,,
agreement_signed_dept_pae,"Pour l'année n-1, une convention était-elle en vigueur avec la plateforme “emploi accompagné” du département ?",,,
nb_insertion_staff,"Au 31 décembre n-1, combien de conseillers en parcours d'insertion ou assimilé étaient dans vos effectifs ?",On parle ici de professionnels formés et exclusifs sur la mission d'inclusion. Répondre ici en ETP,,
nb_insertion_dispo,"Au 31 décembre n-1, combien de postes de conseillers en parcours d'insertion ou assimilé étaient mis à disposition ou mutualisés ?",On parle ici de professionnels formés et exclusifs sur la mission d'inclusion. Répondre ici en ETP,,
insertion_staff_funding,Comment sont-ils financés ?,,,
